gen,fit-avg,fit-std,fit-min,fit-max,pen-avg,pen-std,pen-min,pen-max,dog-avg,dog-std,dog-min,dog-max,shp-avg,shp-std,shp-min,shp-max,mrph-avg,mrph-std,mrph-min,mrph-max,cap-avg,cap-std,cap-min,cap-max
1,0.016955555555555554,0.019315841384600924,0.0,0.07777777777777777,0.5332064921337551,0.13973918233406277,0.06612089979479456,0.802998623859318,0.701470709446384,0.09517796043453614,0.23551936673667218,0.8580652568865546,0.3392321160038582,0.03369136161384857,0.2789525822787033,0.43343680027365217,0.512557307030396,0.1496223240162327,0.21306233302748745,0.8137540070411252,0.02422222222222222,0.027594059120858466,0.0,0.1111111111111111
2,0.018511111111111107,0.022184534708821674,0.0,0.09333333333333332,0.48719323695884903,0.1568814586914275,0.07262810758948385,0.84551252145121,0.6820472210862049,0.11486703449118489,0.20548360917402309,0.8407079015292128,0.3383998739945832,0.04158840774113868,0.260611670151675,0.44818572259211426,0.527306241659486,0.13473610628812313,0.20882958073838376,0.7886904391839286,0.026444444444444444,0.03169219244117382,0.0,0.13333333333333333
3,0.019911111111111112,0.01980876473922155,0.0,0.07777777777777777,0.4399059815442661,0.12456644400364031,0.09870334218622201,0.8343364951667054,0.6857324759642859,0.11299280508380628,0.2064723586434247,0.8618986574658779,0.3407312653772722,0.0375563797967751,0.28423686767665607,0.47960103280815874,0.5238479968733704,0.13561796925105338,0.20882958073838376,0.8060896093986839,0.028444444444444446,0.02829823534174508,0.0,0.1111111111111111
4,0.02442222222222222,0.02412415417822591,0.0,0.12444444444444443,0.4024266685480847,0.14063768353497885,0.05967697478705767,0.8118728031971768,0.6415746143985668,0.13434578882738546,0.21267714088889014,0.856853957058528,0.3453410753187647,0.03540731692221403,0.2761254497602574,0.4238479829715873,0.5259771141237867,0.12294623107774975,0.22036815775614163,0.8060896093986839,0.034888888888888886,0.03446307739746559,0.0,0.17777777777777778
5,0.02613333333333333,0.02274305212044079,0.0,0.09333333333333332,0.36757066618327194,0.14075080993785088,0.05470410734726521,0.7933975270792325,0.6188888263380847,0.1568677079352262,0.19819891771909304,0.8682244807399216,0.34648126727638034,0.04169115662356815,0.25688811901885117,0.43708311468711153,0.5372228990870841,0.1210325456914252,0.19177663956653268,0.8060896093986839,0.03733333333333333,0.032490074457772564,0.0,0.13333333333333333
6,0.02691111111111112,0.021650181762986893,0.0,0.12444444444444443,0.35819215487538175,0.13350443177669694,0.0648905522947935,0.6013617990681349,0.6124861787883367,0.1666824985574462,0.18636491508412303,0.8479266216274651,0.35558217743742987,0.04069239393302447,0.28036164874315156,0.42659534508488733,0.518403470299132,0.12912009891439735,0.08834185260942701,0.7729266043696104,0.038444444444444434,0.030928831089981283,0.0,0.17777777777777778
7,0.031733333333333336,0.0243899999746911,0.0,0.10888888888888888,0.28675351877537275,0.14554700168308543,0.04996769872957161,0.5877982100474807,0.5371755285506792,0.19810688340013305,0.18865649561042044,0.8659434686323545,0.3657462662828383,0.03896210062320842,0.2736253780097296,0.4456188586702858,0.5556727294482572,0.1259758391488738,0.21715233688373356,0.8551345586851481,0.04533333333333333,0.034842857106701576,0.0,0.15555555555555556
8,0.03453333333333333,0.028307692101242826,0.0,0.13999999999999999,0.2469001047502195,0.14570473051955662,0.05338699414393271,0.5095375543664299,0.4842893052077262,0.20750398954811253,0.1804103433612505,0.8112657022098806,0.3759940390828805,0.03968829836170775,0.2950949573944488,0.470958185783013,0.5648036748026773,0.13065900735933098,0.19380001196176358,0.8239624656876122,0.049333333333333326,0.04043956014463261,0.0,0.19999999999999998
9,0.029555555555555557,0.022053806255845503,0.0,0.07777777777777777,0.24235362514186323,0.12875458116342506,0.04291004145179614,0.5003716318606543,0.4858132587232217,0.2069382816309248,0.13392012342765902,0.8286874361794121,0.3746103803911904,0.04127663040379192,0.2639908135179541,0.46733274087019666,0.5428848431984491,0.13312794555428042,0.21715233688373356,0.8181539400408088,0.04222222222222222,0.03150543750835072,0.0,0.11111111111111112
10,0.03515555555555555,0.027706361528280873,0.0,0.13999999999999999,0.22778798740000006,0.1269758341602797,0.04157355150675508,0.5379746861919471,0.47544292165666086,0.19725574626733533,0.1442411011189121,0.8094411416681488,0.37722828529221963,0.03574812948502474,0.3033846069274038,0.4496791634542623,0.5587696292115496,0.12781873846566022,0.25250065317119336,0.8239624656876122,0.0502222222222222,0.03958051646897268,0.0,0.19999999999999998
