gen,fit-avg,fit-std,fit-min,fit-max,pen-avg,pen-std,pen-min,pen-max,dog-avg,dog-std,dog-min,dog-max,shp-avg,shp-std,shp-min,shp-max,mrph-avg,mrph-std,mrph-min,mrph-max,cap-avg,cap-std,cap-min,cap-max
1,0.017266666666666666,0.020388461999769607,0.0,0.09333333333333332,0.4967070270481598,0.15206584068683895,0.10472685606907868,0.8338503749369867,0.6785110346661166,0.09034200182191625,0.38533294555129816,0.8876210911054706,0.3335234698115418,0.033289626565446116,0.2783720171225026,0.4415578507437718,0.5182051378923842,0.1435362487399344,0.13102914714878705,0.8123724899504466,0.024666666666666667,0.029126374285385153,0.0,0.13333333333333333
2,0.021311111111111107,0.021289526782370807,0.0,0.12444444444444443,0.41004634675244284,0.17834813413399686,0.09116844597368172,0.8687692866616588,0.6426658731560546,0.1299594780068458,0.31649722006145065,0.8479235193604996,0.3470370750834275,0.03518950130371004,0.2675420133244152,0.42287101168337676,0.5307237752092734,0.121634873878724,0.2543953992498273,0.8123724899504466,0.030444444444444448,0.030413609689101156,0.0,0.17777777777777778
3,0.026911111111111108,0.024284110539432115,0.0,0.09333333333333332,0.3715797383970291,0.16426578122294452,0.09142446357978867,0.7572862109370716,0.6345016519769738,0.1300254251512211,0.3281893501650425,0.874024275793594,0.3475763650824705,0.03530160516362975,0.2651915062800569,0.4519305895618499,0.5559181502460196,0.12938308618153868,0.18587688073130879,0.9191117278746597,0.03844444444444444,0.034691586484903024,0.0,0.13333333333333333
4,0.03142222222222222,0.026579524283009866,0.0,0.10888888888888888,0.316684969072541,0.15935467703655512,0.06240555118541528,0.7283146761912093,0.5846856430767421,0.1364482876302972,0.28445266261184327,0.8354874576244319,0.35538442272969706,0.035383148283993776,0.28325211260147115,0.4284014049318274,0.5328580645959188,0.1267066657114321,0.24476515202999471,0.9191117278746597,0.04488888888888888,0.03797074897572838,0.0,0.15555555555555556
5,0.028000000000000004,0.024595492912420722,0.0,0.10888888888888888,0.24544571809495777,0.1531187146643038,0.04860436467857384,0.5652943190828111,0.5278472677855663,0.16388478694771974,0.23077279298461847,0.8326622395432524,0.3648340043398734,0.03880484688693306,0.28533103967003653,0.4462715220942652,0.5143501474077953,0.1152277347864443,0.23127542290632727,0.9574074074074074,0.039999999999999994,0.03513641844631533,0.0,0.15555555555555556
6,0.03157777777777778,0.0249330857583272,0.0,0.10888888888888888,0.21311480326539115,0.13242560305779372,0.05263264941213059,0.5564605666345083,0.5013771975379013,0.15573981225872285,0.24278335283290067,0.8571484953141931,0.3661803639005194,0.035876276322713875,0.28007010315957426,0.4367646420429641,0.5080785399410211,0.10519607001530473,0.2150446494300495,0.7660861973735852,0.0451111111111111,0.03561869394046743,0.0,0.15555555555555556
7,0.035777777777777776,0.026075862733262543,0.0,0.10888888888888888,0.18344088664164485,0.11617328713057797,0.049689659423858425,0.567909701153702,0.4767038916906175,0.14433355405899656,0.24177739986505606,0.8339967106000808,0.37574310007427003,0.03641779855797031,0.272170409847038,0.4537817302014409,0.5079406736334405,0.11450896342872446,0.2150446494300495,0.7552143030111867,0.0511111111111111,0.03725123247608936,0.0,0.15555555555555556
8,0.04355555555555555,0.030719760801537883,0.0,0.15555555555555556,0.16528226422639417,0.10466788969605031,0.04301154939466031,0.5628408836389617,0.4510857557214745,0.14278438989476155,0.20160648990709343,0.8006433242822565,0.3796639948342907,0.03129425714695529,0.297584320880452,0.4304976041659005,0.5240473924605906,0.10238647997439201,0.23078969726356757,0.777461320987126,0.06222222222222222,0.04388537257362555,0.0,0.22222222222222224
9,0.03811111111111111,0.028714645465294026,0.0,0.1711111111111111,0.15147829332436294,0.11419472797739474,0.044162421525233066,0.5685213912817365,0.4212119388835188,0.14415579831520656,0.24092122162691088,0.783726266311645,0.38830371887564935,0.037388598814657704,0.29166767596750703,0.4613346489733822,0.5222266616450736,0.10466464170940527,0.32069369507019924,0.771859091965928,0.05444444444444443,0.041020922093277186,0.0,0.24444444444444446
10,0.04013333333333333,0.027227110672187662,0.0,0.10888888888888888,0.1393404855335327,0.10632380567067784,0.05021706460272416,0.5393829023274558,0.3970318239360122,0.13794580975494772,0.24259839625251378,0.8220222924739012,0.39379388329813586,0.037011745016031994,0.28602472096960585,0.46284385569513575,0.5183770849467045,0.10349911222188002,0.2617631474641207,0.7391602941142978,0.057333333333333326,0.03889587238883953,0.0,0.15555555555555556
