gen,fit-avg,fit-std,fit-min,fit-max,pen-avg,pen-std,pen-min,pen-max,dog-avg,dog-std,dog-min,dog-max,shp-avg,shp-std,shp-min,shp-max
1,0.03733333333333333,0.041171727084385365,0.0,0.20000000000000004,0.48656986066545604,0.17410152827721456,0.07912089656689346,0.8064391557177046,0.5794883486734999,0.1129102845703783,0.17113659555869973,0.7787055546816367,0.3915246317511106,0.036837655213265215,0.31076926866111715,0.523877415134411
2,0.039,0.03653156930047703,0.0,0.16666666666666666,0.4581755687435774,0.19499685471315922,0.06585568424981257,0.842023271393462,0.5681521472993915,0.11841632368381254,0.2025704415947842,0.7373123590429684,0.39103016081858705,0.03913355924491901,0.322389091699754,0.4992851583755112
3,0.054333333333333324,0.04799421261406884,0.0,0.20000000000000004,0.4146262065329837,0.19573491903746565,0.034346225117492586,0.8566873897870076,0.5518241733412329,0.1501330547468655,0.13157900984536725,0.7865503888847479,0.3951831778675969,0.04176027696500563,0.3164174798452397,0.4824920128436103
4,0.04566666666666666,0.04362848203231972,0.0,0.20000000000000004,0.39464859982475514,0.19542804773880018,0.03726230344208931,0.8068395617231124,0.5454910052759311,0.16141906545738785,0.1323643045693052,0.7943974446217504,0.3953184447568689,0.041706214181341704,0.3137856379511224,0.4902141816914812
5,0.04799999999999999,0.04354308211415449,0.0,0.20000000000000004,0.3849885938787977,0.18351020758628328,0.044623790804722695,0.7741877065313226,0.5524087709848979,0.14849230582790726,0.17330164230947565,0.8056483011718975,0.39535433613585946,0.035923486132353105,0.3005146460569357,0.48875742068654215
6,0.05266666666666666,0.0445171627327908,0.0,0.16666666666666666,0.39061299620769036,0.19171517713895755,0.04994662904724768,0.8968724322577687,0.5572855056264591,0.14400333827065154,0.16225139930220647,0.77122190029245,0.39289207935778514,0.03925963014700769,0.32245921098226943,0.5107159461895714
7,0.061,0.061654052763968584,0.0,0.3333333333333333,0.4162132529636901,0.2017714491196771,0.07593146732799659,0.8425113072193559,0.5541490677764563,0.12559735642156006,0.2233291978740383,0.7957898788314011,0.3875763159612516,0.039926596528656884,0.2952596083999077,0.489996266403296
8,0.05799999999999999,0.05112511885343425,0.0,0.20000000000000004,0.3708911492870693,0.20639266865644143,0.031388966972390304,0.8342334490596715,0.5285818177207102,0.12599690624514437,0.1221689334890656,0.7429578142581995,0.3927313263795707,0.036408981580959426,0.2944318145468895,0.48332217931201543
9,0.058666666666666666,0.05965083588871343,0.0,0.3333333333333333,0.41274108252294917,0.19646542179090307,0.05949213559061899,0.8188890274137813,0.5630420932601428,0.11852410486222299,0.1695715334105595,0.7621584973957414,0.3817189209154591,0.03779086937622365,0.28826537059395974,0.5015996055840407
10,0.08166666666666667,0.07354137157636736,0.0,0.3333333333333333,0.386048461310113,0.1948649407269147,0.06400146475234045,0.8732737100840425,0.5554261375635089,0.11560942519127461,0.17905477148855475,0.7507452776824414,0.3849480200317765,0.04029480838853462,0.25895506154495135,0.4727295177259216
11,0.07599999999999998,0.08056467381344425,0.0,0.39999999999999997,0.40102105277150507,0.21815025051112352,0.04402965179488502,0.8422522738423409,0.5544118830115792,0.11868686369120819,0.17228949183346165,0.7564555088517269,0.3825732469526563,0.04359579017239478,0.28724782996125303,0.5516451350781245
12,0.09766666666666665,0.09156115139317793,0.0,0.4000000000000001,0.3710447417789395,0.22724837678295334,0.05240599625705333,0.8589818828540241,0.5480574765061322,0.11074138899694669,0.17871969147706923,0.72440194777448,0.37596598833421696,0.043769186580766034,0.2602369528396806,0.533160515990799
13,0.10533333333333333,0.09270263091076637,0.0,0.36666666666666664,0.34282227053456055,0.22395850498022637,0.04180645376660864,0.9329559785381151,0.5156729802342701,0.1206206847977539,0.20321946508229669,0.748873980059121,0.3767876048849903,0.04143447387226917,0.28270913396118236,0.46878431166165885
14,0.1313333333333333,0.11093741979652813,0.0,0.5,0.31464725312535546,0.2201028473112334,0.060014880005572396,0.8611498126753245,0.5130633228584373,0.10499341859580351,0.2505727348371024,0.7167729843374859,0.37755009457947364,0.045088714040636614,0.2724780288502882,0.48521063883436955
15,0.18333333333333335,0.11571036638473187,0.0,0.5333333333333333,0.2084889131364895,0.14092445973031306,0.03919147171290594,0.7395402858245244,0.4761473206166341,0.10348540776806409,0.16744252991621575,0.7009883099895498,0.38191350627117643,0.040632936426894736,0.28791028391141477,0.4831734084944724
16,0.20333333333333328,0.12476644848141934,0.0,0.5666666666666667,0.22961091249188353,0.12760806645946587,0.057166071768219064,0.6328024525916284,0.49562796127820286,0.10483931877436439,0.25127023034372836,0.7054470053140734,0.3649991335684755,0.045174953082992096,0.24719907471515754,0.49171910908067523
