### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,422,158,144.738,0,255,0,0,100,1,1
1,215,144,-110.286,0,255,0,0,100,1,1
2,110,250,13.4039,0,255,0,0,100,1,1
3,78,60,-74.875,0,255,0,0,100,1,1
4,411,311,-136.236,0,255,0,0,100,1,1
5,514,259,-157.64,0,255,0,0,100,1,1
6,99,434,19.0711,0,255,0,0,100,1,1
7,191,235,-71.1078,0,255,0,0,100,1,1
8,389,66,27.0668,0,255,0,0,100,1,1
9,509,150,-63.5996,0,255,0,0,100,1,1
10,45,444,-147.846,0,255,0,0,100,1,1
11,485,213,-73.0048,0,255,0,0,100,1,1
12,344,186,19.9702,0,255,0,0,100,1,1
13,431,403,-156.344,0,255,0,0,100,1,1
14,168,334,174.345,0,255,0,0,100,1,1
15,71,310,23.2314,0,255,0,0,100,1,1
16,320,522,-139.566,0,255,0,0,100,1,1
17,184,459,-144.083,0,255,0,0,100,1,1
18,371,412,0.143377,0,255,0,0,100,1,1
19,395,498,-123.34,0,255,0,0,100,1,1
20,333,512,-107.782,0,0,255,0,100,1,1
21,116,132,164.226,0,0,255,0,100,1,1
22,418,143,135.539,0,0,255,0,100,1,1
23,43,545,-11.1102,0,0,255,0,100,1,1
24,502,514,-87.7499,0,0,255,0,100,1,1
25,327,150,-55.2473,0,0,255,0,100,1,1
26,351,521,39.079,0,0,255,0,100,1,1
27,228,54,46.9197,0,0,255,0,100,1,1
28,548,366,68.7612,0,0,255,0,100,1,1
29,556,551,-59.2353,0,0,255,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
### ### ###
#
# Landmarks
#
# id, x, y
#
#
0,300,300
